bloque,tipo_medida,variable_1,variable_2,valor,n_observaciones,decision_metodologica,decision,criterio
Medio Ambiente / equipamientos secundarios,correlacion_pearson,Medio ambiente 2024 | Juegos infantiles zonas [n],Medio ambiente 2024 | Juegos infantiles elementos [n],"0,97",19,Zonas y elementos estan muy correlacionados; se evita duplicidad manteniendo superficie de zonas infantiles por km2.,,
Medio Ambiente / equipamientos secundarios,correlacion_pearson,Medio ambiente 2024 | Juegos infantiles zonas [n],Medio ambiente 2024 | Juegos infantiles superficie [m2],"0,61",19,La superficie aporta una dimension fisica mas interpretable que el recuento de zonas.,,
Medio Ambiente / equipamientos secundarios,,,,,,,Zonas de juegos infantiles [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Zonas de juegos infantiles [por_km2],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Zonas de juegos infantiles [por_1000_hab],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Fuentes [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Fuentes agua filtrada y refrigerada [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Zonas ac̼sticamente saturadas [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Fuentes [por_km2],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Fuentes [por_1000_hab],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Fuentes agua filtrada y refrigerada [por_km2],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Fuentes agua filtrada y refrigerada [por_1000_hab],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Zonas acusticamente saturadas [por_km2],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Zonas acusticamente saturadas [por_1000_hab],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Medio ambiente 2024 | Juegos infantiles zonas [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Medio ambiente 2024 | Juegos infantiles elementos [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Medio ambiente 2024 | Juegos infantiles superficie [m2],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Medio ambiente 2024 | Escombros contenedores total [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Medio ambiente 2024 | Escombros contenedores enero [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Medio ambiente 2024 | Escombros contenedores febrero [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Medio ambiente 2024 | Escombros contenedores marzo [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Medio ambiente 2024 | Escombros contenedores abril [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Medio ambiente 2024 | Escombros contenedores mayo [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Medio ambiente 2024 | Escombros contenedores junio [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Medio ambiente 2024 | Escombros contenedores julio [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Medio ambiente 2024 | Escombros contenedores agosto [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
Medio Ambiente / equipamientos secundarios,,,,,,,Medio ambiente 2024 | Escombros contenedores septiembre [n],"eliminada por redundancia, recuento absoluto, mensualidad excesiva o unidad menos interpretable"
