refman,hoja,coorx,coory
94719,YJ2697A,729319.57,4366940.72
93708,YJ2697A,729239.39,4366814.67
94708,YJ2697A,729331.64,4366876.81
95719,YJ2697B,729413.7,4366941.36
95718,YJ2697A,729385.76,4366928.27
95704,YJ2697A,729374.89,4366891.79
94054,YJ2790E,729333.24,4370361.58
94056,YJ2790E,729377.64,4370375.27
94044,YJ2790F,729373.93,4370263.06
95053,YJ2790F,729465.07,4370354.15
95054,YJ2790F,729460.17,4370328.63
95049,YJ2790D,729432.03,4370255.5
48396,YJ2743H,724767.82,4373710.86
69784,YJ2667H,726874.27,4367654.28
47392,YJ2743H,724631.95,4373782.55
48397,YJ2743H,724739.79,4373676.75
48398,YJ2743H,724694.54,4373733.93
49392,YJ2743H,724777.58,4373764.57
49398,YJ2743H,724795.23,4373750.02
49397,YJ2743H,724808.09,4373729.8
60465,YJ2764E,725982.39,4374406.23
62451,YJ2764E,726109.96,4374372.88
63457,YJ2764E,726171.84,4374310.65
62449,YJ2764C,726123.29,4374242.29
61444,YJ2764C,726083.53,4374249.19
63394,YJ2763G,726281.84,4373706.42
64408,YJ2764A,726320.09,4373858.65
63401,YJ2764A,726208.11,4373881.14
62388,YJ2763G,726114.27,4373636.54
52529,YJ2755C,725153.96,4375042.86
48379,YJ2743H,724740.97,4373540.46
48375,YJ2743F,724755.49,4373493.02
48362,YJ2743F,724729.75,4373482.17
57401,YJ2754B,725622.79,4373883.92
57403,YJ2754B,725672.52,4373868.39
58401,YJ2754B,725713.53,4373869.95
58403,YJ2754B,725756.76,4373873.84
59401,YJ2754B,725815.66,4373880.76
59405,YJ2754B,725864.62,4373863.39
97995,YJ2699H,729667.02,4369697.58
97999,YJ2699H,729632.03,4369724.35
97991,YJ2699H,729594.6,4369775.59
62564,YJ2765E,726192.38,4375476.13
51543,YJ2755C,725019.61,4375256.98
51548,YJ2755C,725030.67,4375225.81
50524,YJ2755C,724994.36,4375127.42
59512,YJ2755B,725885.15,4374958.75
59509,YJ2755B,725863.75,4374904.31
58515,YJ2755B,725783.84,4374930.11
59502,YJ2755B,725805.64,4374849.39
36447,YJ2734D,723574.89,4374227.68
36441,YJ2734D,723503.27,4374211.87
37446,YJ2734D,723674.11,4374242.11
38434,YJ2734D,723731.59,4374162
40434,YJ2744C,723906.78,4374130.26
40429,YJ2744C,723933.11,4374065.58
50622,YJ2756C,724977.36,4376062.88
38112,YJ2731B,723722.99,4370986.69
37137,YJ2731D,723641.45,4371079.27
37134,YJ2731D,723643.78,4371176.83
33165,YJ2731E,723324.76,4371401.64
34180,YJ2731E,723245.91,4371496.44
37142,YJ2731D,723731.7,4371434.73
38161,YJ2731F,723792.03,4371407.29
38161,YJ2731F,723786.13,4371391.26
47131,YJ2741D,724616.99,4371162.92
52206,YJ2751G,725145.9,4371773.32
50187,YJ2751G,724909.62,4371611.2
13523,YJ3515A,731283.46,4355068.33
54195,YJ2751G,725359.82,4371705.87
54198,YJ2751G,725305.91,4371738.27
56273,YJ2752H,725492.86,4372560.11
56272,YJ2752H,725514.45,4372562.26
56274,YJ2752H,725538.54,4372551.51
56276,YJ2752H,725559.08,4372549.03
61269,YJ2762E,726053.55,4372435.76
61266,YJ2762E,726054.08,4372407.44
62342,YJ2763E,726115.62,4373284.75
65361,YJ2763H,726405.16,4373430.24
60264,YJ2762E,725987.43,4372447.78
60259,YJ2762E,725927.87,4372347.26
60252,YJ2762E,725927.56,4372378.26
60267,YJ2762E,725891.37,4372387.26
69357,YJ2763F,726811.42,4373314.03
13529,YJ3515A,731227.26,4355028.53
